,id,for_user_id,round_id,turn_id,idea_content,idea_content2,annotation_ali,annotation_krish
0,1643,50,1,1,Use the shoe as a stand for your smartphone or tablet,use the shoe as a stand for your smartphone or tablet,10,9
1,1642,50,1,1,Wrap ice packs in a cloth or plastic bag and place them inside the shoe to provide a cushioned and insulated cover for injuries,wrap ice packs in a cloth or plastic bag and place them inside the shoe to provide a cushioned and insulated cover for injuries,514,156
2,1641,50,1,1,You can tie a string or rope to the shoe and use it as a toy for a pet to play tug-of-war,you can tie a string or rope to the shoe and use it as a toy for a pet to play tug-of-war,270,35
3,1640,50,1,1,As a doorstop,as a doorstop,113,22
4,1683,50,1,2,Desk organizer,desk organizer,654,0
5,1682,50,1,2,DIY knee pad,diy knee pad,5,146
6,1681,50,1,2,Insole for gardening gloves,insole for gardening gloves,4,216
7,1680,50,1,2,Emergency funnel: Cut part of the shoe to create a makeshift funnel,emergency funnel: cut part of the shoe to create a makeshift funnel,515,144
8,1679,50,1,2,Art canvas: Paint or decorate the shoe surface and display it as a unique art piece or part of a larger artwork,art canvas: paint or decorate the shoe surface and display it as a unique art piece or part of a larger artwork,38,143
9,1678,50,1,2,Miniature soccer goal,miniature soccer goal,69,41
10,1988,50,2,1,Educational aids: Use buttons as counting or sorting tools,educational aids: use buttons as counting or sorting tools,5,5
11,1987,50,2,1,Key identifiers: Sew or attach buttons to keychains to differentiate between keys,key identifiers: sew or attach buttons to keychains to differentiate between keys,122,89
12,1986,50,2,1,Zipper pull replacement,zipper pull replacement,279,114
13,1985,50,2,1,"Jewelry making: Incorporate buttons into jewelry designs such as earrings, etc","jewelry making: incorporate buttons into jewelry designs such as earrings, etc",225,7
14,1984,50,2,1,Game pieces: Utilize buttons as game markers or tokens for board games,game pieces: utilize buttons as game markers or tokens for board games,48,34
15,1983,50,2,1,Decoration,decoration,8,25
16,2085,50,2,2,Miniature table coaster,miniature table coaster,103,28
17,2084,50,2,2,Fidget toy,fidget toy,96,38
18,2083,50,2,2,Button clock,button clock,175,162
19,2082,50,2,2,Puppet eyes,puppet eyes,110,26
20,2081,50,2,2,Button bouquet: Create a decorative bouquet by attaching buttons to stems,button bouquet: create a decorative bouquet by attaching buttons to stems,8,24
21,2080,50,2,2,Button curtain weights: Sew buttons into the hems of curtains to help weigh them down,button curtain weights: sew buttons into the hems of curtains to help weigh them down,254,19
22,2295,50,3,1,Artistic stamps,artistic stamps,205,34
23,2294,50,3,1,Garden markers,garden markers,99,105
24,2293,50,3,1,Game tokens,game tokens,174,3
25,2292,50,3,1,Art installation: Incorporate keys into sculptures or art installations,art installation: incorporate keys into sculptures or art installations,28,34
26,2291,50,3,1,Bottle opener: Use a sturdy key as an emergency bottle opener for beverages with twist-off caps.,bottle opener: use a sturdy key as an emergency bottle opener for beverages with twist-off caps.,67,39
27,2290,50,3,1,Jewelry,jewelry,33,19
28,2411,50,3,2,Puzzle,puzzle,174,147
29,2410,50,3,2,Recipe holder,recipe holder,135,125
30,2409,50,3,2,Candle snuffer,candle snuffer,323,188
31,2408,50,3,2,Scrape paint or glue,scrape paint or glue,6,12
32,2407,50,3,2,Emergency screwdriver,emergency screwdriver,79,77
33,2406,50,3,2,Phone stand,phone stand,268,171
34,2570,50,4,1,Nail hole filler,nail hole filler,52,8
35,2569,50,4,1,Emergency splint,emergency splint,10,12
36,2568,50,4,1,Musical instrument,musical instrument,121,9
37,2567,50,4,1,Level indicator,level indicator,106,77
38,2566,50,4,1,Support for small plants,support for small plants,254,31
39,2565,50,4,1,Planting tool,planting tool,65,31
40,2640,50,4,2,Temporary shoelace aglet: Insert a pencil tip into frayed shoelaces to temporarily stiffen and thread them through eyelets,temporary shoelace aglet: insert a pencil tip into frayed shoelaces to temporarily stiffen and thread them through eyelets,93,90
41,2639,50,4,2,Paper airplane launcher,paper airplane launcher,346,166
42,2638,50,4,2,Marionette: Attach strings to pencils and create a simple puppet or marionette for entertainment,marionette: attach strings to pencils and create a simple puppet or marionette for entertainment,87,82
43,2637,50,4,2,Mini rolling pin,mini rolling pin,77,50
44,2636,50,4,2,Emergency plinter remover,emergency plinter remover,219,152
45,2635,50,4,2,Impromptu tent stake,impromptu tent stake,19,6
46,2772,50,5,1,Boat bumpers,boat bumpers,28,28
47,2771,50,5,1,Dog bed,dog bed,66,66
48,2770,50,5,1,Pond or water feature,pond or water feature,59,59
49,2769,50,5,1,Obstacle course,obstacle course,47,47
50,2768,50,5,1,Exercise equipment,exercise equipment,75,75
51,2767,50,5,1,Swing,swing,7,7
52,2867,50,5,2,Tire sculpture,tire sculpture,51,51
53,2866,50,5,2,Vertical garden,vertical garden,61,61
54,2865,50,5,2,Playground equipment,playground equipment,127,127
55,2864,50,5,2,Coffee table,coffee table,54,54
56,2863,50,5,2,Sandbox cover,sandbox cover,72,72
57,2862,50,5,2,Tire steps,tire steps,102,102
58,1588,51,1,1,Use to absorb sound in room,use to absorb sound in room,443,207
59,1587,51,1,1,Throw it as a weapon,throw it as a weapon,15,14
60,1586,51,1,1,Grow a plant inside of it,grow a plant inside of it,4,5
61,1585,51,1,1,Killing insects (cockroaches),killing insects (cockroaches),18,4
62,1604,51,1,2,To juggle,to juggle,31,228
63,1603,51,1,2,To play a prank on others,to play a prank on others,623,235
64,1602,51,1,2,To protect your hands,to protect your hands,6,28
65,1601,51,1,2,To even out unbalanced furniture,to even out unbalanced furniture,172,130
66,1647,51,2,1,use it as a stamp,use it as a stamp,35,32
67,1646,51,2,1,flip like a coin,flip like a coin,22,4
68,1645,51,2,1,draw circles,draw circles,28,21
69,1644,51,2,1,gather many to make sound,gather many to make sound,38,35
70,1713,51,2,2,use it for an abacus,use it for an abacus,154,145
71,1712,51,2,2,try to skip on water,try to skip on water,67,51
72,1711,51,2,2,use edge to write/draw,use edge to write/draw,367,21
73,1710,51,2,2,stick between your toes,stick between your toes,317,212
74,1777,51,3,1,draw on sand,draw on sand,143,60
75,1776,51,3,1,spin on keyring for fidgeting,spin on keyring for fidgeting,215,26
76,1775,51,3,1,jingle them for sound,jingle them for sound,18,75
77,1774,51,3,1,use as can opener,use as can opener,67,39
78,1773,51,3,1,scratch someone's car,scratch someone's car,59,12
79,1772,51,3,1,cut tape,cut tape,19,24
80,1888,51,3,2,use as a bookmark,use as a bookmark,189,122
81,1887,51,3,2,wedge it between things,wedge it between things,68,10
82,1886,51,3,2,check temperature of liquid,check temperature of liquid,237,0
83,1885,51,3,2,Mix soap,mix soap,78,76
84,2055,51,4,1,use to drum drums,use to drum drums,7,9
85,2054,51,4,1,use as a baton,use as a baton,56,59
86,2053,51,4,1,use as a human chew toy,use as a human chew toy,64,21
87,2052,51,4,1,use as chopsticks,use as chopsticks,33,32
88,2051,51,4,1,to poke hard to reach areas,to poke hard to reach areas,228,6
89,2050,51,4,1,use as a weapon,use as a weapon,47,5
90,2183,51,4,2,use edge to draw straight lines,use edge to draw straight lines,18,13
91,2182,51,4,2,use as ruler (measure distance),use as ruler (measure distance),11,13
92,2181,51,4,2,mix things (liquids),mix things (liquids),105,70
